iteration,alive,infected,recovered,dead
0,445,0,0,3023
1,384,0,0,3084
2,365,0,0,3103
3,342,0,0,3126
4,346,0,0,3122
5,306,0,0,3162
6,292,0,0,3176
7,291,0,0,3177
8,289,0,0,3179
9,297,0,0,3171
10,316,0,0,3152
11,327,0,0,3141
12,332,0,0,3136
13,352,0,0,3116
14,368,0,0,3100
15,344,0,0,3124
16,334,0,0,3134
17,353,0,0,3115
18,363,0,0,3105
19,395,0,0,3073
20,388,0,0,3080
21,412,0,0,3056
22,444,0,0,3024
23,422,0,0,3046
24,445,0,0,3023
25,408,0,0,3060
26,384,0,0,3084
27,403,0,0,3065
28,384,0,0,3084
29,370,0,0,3098
30,375,0,0,3093
31,370,0,0,3098
32,349,0,0,3119
33,345,0,0,3123
34,348,0,0,3120
35,323,0,0,3145
36,335,0,0,3133
37,310,0,0,3158
38,315,0,0,3153
39,320,0,0,3148
40,331,0,0,3137
41,323,0,0,3145
42,343,0,0,3125
43,339,0,0,3129
44,302,0,0,3166
45,302,0,0,3166
46,288,0,0,3180
47,296,0,0,3172
48,303,0,0,3165
49,314,0,0,3154
50,314,0,0,3154
51,314,0,0,3154
52,314,0,0,3154
53,314,0,0,3154
54,314,0,0,3154
55,314,0,0,3154
56,314,0,0,3154
57,314,0,0,3154
58,314,0,0,3154
59,314,0,0,3154
60,314,0,0,3154
61,314,0,0,3154
62,314,0,0,3154
63,314,0,0,3154
64,314,0,0,3154
65,314,0,0,3154
66,314,0,0,3154
67,314,0,0,3154
68,314,0,0,3154
69,314,0,0,3154
70,314,0,0,3154
71,314,0,0,3154
72,314,0,0,3154
73,314,0,0,3154
74,314,0,0,3154
75,314,0,0,3154
76,314,0,0,3154
77,314,0,0,3154
78,314,0,0,3154
79,314,0,0,3154
80,314,0,0,3154
81,314,0,0,3154
82,314,0,0,3154
83,314,0,0,3154
84,314,0,0,3154
85,314,0,0,3154
86,314,0,0,3154
87,314,0,0,3154
88,314,0,0,3154
89,314,0,0,3154
90,314,0,0,3154
91,314,0,0,3154
92,314,0,0,3154
93,314,0,0,3154
94,314,0,0,3154
95,314,0,0,3154
96,314,0,0,3154
97,314,0,0,3154
98,314,0,0,3154
99,314,0,0,3154
100,314,0,0,3154
101,314,0,0,3154
102,314,0,0,3154
103,314,0,0,3154
104,314,0,0,3154
105,314,0,0,3154
106,314,0,0,3154
107,314,0,0,3154
108,314,0,0,3154
109,314,0,0,3154
110,314,0,0,3154
111,314,0,0,3154
112,314,0,0,3154
113,314,0,0,3154
114,314,0,0,3154
115,314,0,0,3154
116,314,0,0,3154
117,314,0,0,3154
118,314,0,0,3154
119,314,0,0,3154
120,314,0,0,3154
121,314,0,0,3154
122,314,0,0,3154
123,314,0,0,3154
124,314,0,0,3154
125,314,0,0,3154
126,314,0,0,3154
127,314,0,0,3154
128,314,0,0,3154
129,314,0,0,3154
130,314,0,0,3154
131,314,0,0,3154
132,314,0,0,3154
133,314,0,0,3154
134,314,0,0,3154
135,314,0,0,3154
136,314,0,0,3154
137,314,0,0,3154
138,314,0,0,3154
139,314,0,0,3154
140,314,0,0,3154
141,314,0,0,3154
142,314,0,0,3154
143,314,0,0,3154
144,314,0,0,3154
145,314,0,0,3154
146,314,0,0,3154
147,314,0,0,3154
148,314,0,0,3154
149,314,0,0,3154
150,314,0,0,3154
151,314,0,0,3154
152,314,0,0,3154
153,314,0,0,3154
154,314,0,0,3154
155,314,0,0,3154
156,314,0,0,3154
157,314,0,0,3154
158,314,0,0,3154
159,314,0,0,3154
160,314,0,0,3154
161,314,0,0,3154
162,314,0,0,3154
163,314,0,0,3154
164,314,0,0,3154
165,314,0,0,3154
166,314,0,0,3154
167,314,0,0,3154
168,314,0,0,3154
169,314,0,0,3154
170,314,0,0,3154
171,314,0,0,3154
